Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	UPFX_FOR	Utiliza prefixo na descrição do lote:(S)im ou (N)ão	dtString	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	PREF_FOR	Prefixo da descrição do lote	dtString	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	CMPB_FOR	Composição matéria prima bloco K. (A)pontamento (P)roporcional	dtString	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	TPRD_FOR	"""TIPOS DE PRODUCAO"""	dtString	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	FLOT_FOR	"""FóRMULA PARA GERAçãO DO NOME DO LOTE"""	dtString	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	CODI_MOP	CODIGO MODELO DE IMPRESSAO	dtInteger	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	DINSERT	Data da inserção	dtDateTime	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
FORMULATECNICA	FORMULATECNICA - Cadastro de Fórmula	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
